Pickup Location,Dropoff Location,Cab Type,Distance (km),Fare (INR),Payment Method,Date,Time
Whitefield,Marathahalli,UberSUV,17.27,257.24,UPI,2024-07-27,04:47:54
MG Road,Indiranagar,UberXL,25.95,361.4,Card,2024-01-14,07:23:59
Koramangala,Jayanagar,UberXL,20.46,295.52,UPI,2024-07-15,05:54:01
Hebbal,Koramangala,UberGo,44.66,585.92,Wallet,2024-04-14,13:02:49
Electronic City,Jayanagar,UberBlack,3.1,87.2,Wallet,2024-09-03,17:59:56
Hebbal,Whitefield,UberXL,47.74,622.88,Wallet,2024-03-08,20:32:42
Koramangala,Indiranagar,UberXL,32.87,444.44,Card,2024-08-09,16:14:56
Jayanagar,Marathahalli,UberX,31.38,426.56,Card,2024-12-06,11:46:58
Indiranagar,Jayanagar,UberXL,3.44,91.28,UPI,2024-08-22,06:37:07
MG Road,Marathahalli,UberGo,11.72,190.64,Card,2024-12-13,13:26:46
Jayanagar,Indiranagar,UberX,20.02,290.24,Card,2024-07-05,00:02:31
Hebbal,Electronic City,UberBlack,24.91,348.92,UPI,2024-09-13,18:55:13
Electronic City,Koramangala,UberX,20.94,301.28,UPI,2024-08-17,01:50:13
Electronic City,Marathahalli,UberGo,12.03,194.36,UPI,2024-10-10,13:00:26
Marathahalli,Jayanagar,UberGo,38.73,514.76,Card,2024-04-16,08:44:15
Jayanagar,Indiranagar,UberXL,15.1,231.2,Card,2024-01-22,08:40:22
Jayanagar,Marathahalli,UberSUV,33.64,453.68,Card,2024-12-21,19:32:44
Indiranagar,Whitefield,UberSUV,15.21,232.52,Card,2024-06-12,12:58:20
Indiranagar,Marathahalli,UberXL,14.03,218.36,Cash,2024-03-19,14:51:02
Electronic City,Koramangala,UberX,24.78,347.36,UPI,2024-02-23,19:04:39
Hebbal,Marathahalli,UberX,41.65,549.8,UPI,2024-03-18,21:23:57
Electronic City,MG Road,UberBlack,17.92,265.04,UPI,2024-08-18,21:14:24
Koramangala,Hebbal,UberBlack,22.83,323.96,Wallet,2024-09-07,01:54:10
Indiranagar,Jayanagar,UberXL,40.55,536.6,Wallet,2024-07-03,00:24:40
Jayanagar,Koramangala,UberXL,24.94,349.28,Card,2024-09-02,05:29:36
Koramangala,Jayanagar,UberGo,30.04,410.48,Card,2024-08-24,07:44:31
Electronic City,Koramangala,UberSUV,31.33,425.96,Wallet,2024-09-07,05:25:55
Marathahalli,Electronic City,UberBlack,41.31,545.72,Cash,2024-03-10,03:30:36
Marathahalli,Koramangala,UberX,21.32,305.84,Wallet,2024-01-08,11:49:32
Whitefield,Indiranagar,UberBlack,16.52,248.24,UPI,2024-12-06,01:10:33
Whitefield,Indiranagar,UberSUV,12.35,198.2,Wallet,2024-06-12,09:45:00
Marathahalli,Hebbal,UberBlack,15.38,234.56,Cash,2024-05-22,06:28:31
Electronic City,Koramangala,UberSUV,40.99,541.88,UPI,2024-12-21,05:30:02
MG Road,Marathahalli,UberGo,2.44,79.28,Card,2024-10-03,23:45:06
Electronic City,Marathahalli,UberBlack,36.24,484.88,Wallet,2024-06-26,01:26:00
Hebbal,Indiranagar,UberX,42.68,562.16,Cash,2024-02-08,04:47:07
MG Road,Hebbal,UberXL,47.1,615.2,Cash,2024-03-14,10:31:58
Electronic City,Indiranagar,UberX,10.44,175.28,Card,2024-02-18,00:59:45
Indiranagar,Electronic City,UberSUV,20.53,296.36,Wallet,2024-07-05,17:47:49
MG Road,Koramangala,UberBlack,3.04,86.48,Wallet,2024-11-29,01:21:25
Jayanagar,Hebbal,UberXL,16.55,248.6,Wallet,2024-01-30,00:42:01
Jayanagar,Marathahalli,UberX,43.45,571.4,Card,2024-01-25,22:53:12
Indiranagar,Marathahalli,UberBlack,11.54,188.48,Cash,2024-09-22,05:27:25
Marathahalli,Hebbal,UberBlack,10.25,173,Card,2024-03-14,19:37:21
Indiranagar,MG Road,UberGo,2.39,78.68,UPI,2024-06-14,23:27:26
Koramangala,Jayanagar,UberBlack,48.67,634.04,UPI,2024-07-29,14:32:03
Hebbal,MG Road,UberX,25.97,361.64,Card,2024-03-08,06:23:14
Koramangala,Jayanagar,UberXL,44.17,580.04,Cash,2024-02-13,08:44:47
Electronic City,Whitefield,UberBlack,37.4,498.8,Cash,2024-01-23,03:48:03
Indiranagar,Jayanagar,UberBlack,42.2,556.4,UPI,2024-02-04,11:43:52
Indiranagar,Electronic City,UberX,25.56,356.72,UPI,2024-07-28,01:45:33
Indiranagar,Electronic City,UberBlack,25.01,350.12,UPI,2024-03-10,03:58:37
Indiranagar,Koramangala,UberSUV,4.18,100.16,Card,2024-07-16,13:39:36
Marathahalli,Electronic City,UberX,4.28,101.36,UPI,2024-06-05,23:57:30
Whitefield,Hebbal,UberSUV,27.24,376.88,Cash,2024-01-14,14:00:45
Indiranagar,MG Road,UberSUV,34.68,466.16,Card,2024-10-12,12:11:50
MG Road,Marathahalli,UberBlack,35.35,474.2,Cash,2024-12-24,03:31:11
Marathahalli,Whitefield,UberSUV,39.09,519.08,UPI,2024-09-19,15:59:40
Jayanagar,Koramangala,UberSUV,33.34,450.08,Cash,2024-03-15,16:27:31
Whitefield,Electronic City,UberXL,3.91,96.92,UPI,2024-10-15,18:34:29
Marathahalli,Koramangala,UberX,22.25,317,Card,2024-01-05,05:25:54
Electronic City,Marathahalli,UberGo,16.33,245.96,UPI,2024-02-01,11:35:00
Marathahalli,Jayanagar,UberXL,46.92,613.04,UPI,2024-12-19,12:40:25
Indiranagar,Marathahalli,UberGo,27.31,377.72,UPI,2024-09-07,17:28:54
Electronic City,Indiranagar,UberGo,5.55,116.6,UPI,2024-03-31,20:39:28
Marathahalli,Whitefield,UberGo,12.77,203.24,UPI,2024-04-12,04:38:48
Koramangala,Jayanagar,UberBlack,21.54,308.48,Wallet,2024-10-10,12:29:46
Hebbal,Koramangala,UberXL,28.25,389,Card,2024-04-09,12:33:08
Jayanagar,Electronic City,UberSUV,41.65,549.8,Card,2024-01-12,11:27:17
Jayanagar,Electronic City,UberXL,34.65,465.8,Wallet,2024-06-07,07:52:36
Marathahalli,Koramangala,UberXL,24.24,340.88,Card,2024-01-05,19:32:02
Jayanagar,Indiranagar,UberGo,19.79,287.48,Card,2024-10-05,22:06:13
Whitefield,Marathahalli,UberXL,15.47,235.64,Wallet,2024-10-11,21:18:51
MG Road,Electronic City,UberX,32.64,441.68,Cash,2024-03-31,10:52:44
MG Road,Jayanagar,UberX,47.9,624.8,Card,2024-12-06,07:41:00
Hebbal,Jayanagar,UberXL,37.92,505.04,UPI,2024-06-15,01:51:25
MG Road,Indiranagar,UberGo,18.72,274.64,UPI,2024-03-29,12:30:11
MG Road,Hebbal,UberXL,28.05,386.6,Card,2024-05-20,22:14:45
Whitefield,Indiranagar,UberSUV,9.79,167.48,Card,2024-04-02,18:36:48
Jayanagar,Whitefield,UberX,44.24,580.88,Wallet,2024-06-07,05:43:32
Hebbal,Whitefield,UberBlack,38.02,506.24,Wallet,2024-04-02,22:16:44
Marathahalli,Electronic City,UberX,36.17,484.04,UPI,2024-10-30,01:26:14
Whitefield,Jayanagar,UberXL,49.51,644.12,Wallet,2024-10-24,21:29:37
Whitefield,Jayanagar,UberBlack,44.71,586.52,Wallet,2024-03-12,16:00:10
Whitefield,Indiranagar,UberGo,2.87,84.44,Card,2024-05-05,19:49:37
MG Road,Jayanagar,UberBlack,41.72,550.64,Cash,2024-01-30,01:22:24
Indiranagar,Electronic City,UberGo,40.35,534.2,UPI,2024-04-15,01:24:40
Electronic City,Hebbal,UberGo,24.49,343.88,Wallet,2024-11-26,01:29:06
Whitefield,Indiranagar,UberXL,8.45,151.4,Card,2024-11-05,21:58:21
MG Road,Hebbal,UberX,34.18,460.16,Card,2024-08-17,23:33:53
MG Road,Koramangala,UberBlack,23.59,333.08,Wallet,2024-05-27,23:50:11
Whitefield,Koramangala,UberGo,35.64,477.68,Wallet,2024-10-01,22:04:51
Whitefield,Marathahalli,UberXL,37.01,494.12,Wallet,2024-03-12,21:48:23
MG Road,Koramangala,UberXL,25.29,353.48,Cash,2024-10-17,07:32:40
Whitefield,Koramangala,UberSUV,36.33,485.96,Wallet,2024-10-27,20:49:24
Indiranagar,MG Road,UberSUV,28.67,394.04,Wallet,2024-04-01,21:44:20
MG Road,Electronic City,UberSUV,17.38,258.56,Wallet,2024-10-23,23:34:51
Hebbal,MG Road,UberGo,22.71,322.52,Wallet,2024-05-05,12:36:17
MG Road,Whitefield,UberSUV,35.94,481.28,Wallet,2024-08-27,20:00:03
MG Road,Jayanagar,UberSUV,5.03,110.36,Card,2024-11-07,05:48:14
Koramangala,Jayanagar,UberX,27.44,379.28,Wallet,2024-11-10,18:25:41
MG Road,Hebbal,UberXL,44.91,588.92,Wallet,2024-09-25,04:56:46
Marathahalli,Jayanagar,UberGo,5.66,117.92,UPI,2024-08-12,22:08:03
Marathahalli,Whitefield,UberX,47.78,623.36,Cash,2024-11-30,21:55:38
MG Road,Koramangala,UberSUV,10.64,177.68,Wallet,2024-10-26,00:28:21
Marathahalli,Indiranagar,UberGo,25.09,351.08,Card,2024-04-19,13:33:05
Indiranagar,Jayanagar,UberSUV,18.61,273.32,UPI,2024-12-05,09:59:00
Koramangala,Whitefield,UberGo,33.57,452.84,Wallet,2024-01-24,10:52:36
Whitefield,Koramangala,UberBlack,14.99,229.88,UPI,2024-06-30,13:51:55
MG Road,Marathahalli,UberGo,25.03,350.36,Wallet,2024-10-27,19:51:10
Indiranagar,Electronic City,UberBlack,39.16,519.92,Card,2024-06-17,21:23:24
Jayanagar,Indiranagar,UberBlack,32.32,437.84,Cash,2024-10-17,05:31:45
Koramangala,Whitefield,UberX,44.42,583.04,Card,2024-08-01,16:30:51
Jayanagar,Electronic City,UberXL,44.96,589.52,Card,2024-01-25,01:03:43
Hebbal,Jayanagar,UberSUV,46.03,602.36,Card,2024-08-13,00:54:40
Whitefield,Electronic City,UberGo,13.55,212.6,Wallet,2024-11-29,17:02:16
Electronic City,Whitefield,UberBlack,9.27,161.24,UPI,2024-10-21,07:25:11
Hebbal,Whitefield,UberX,38.18,508.16,Cash,2024-10-24,02:18:35
Whitefield,Marathahalli,UberSUV,33.54,452.48,Card,2024-09-30,07:12:31
Whitefield,Electronic City,UberXL,34.42,463.04,Card,2024-10-22,22:22:01
Koramangala,Marathahalli,UberX,30.36,414.32,Cash,2024-02-09,15:26:10
Whitefield,Indiranagar,UberSUV,24.12,339.44,Cash,2024-10-07,08:29:57
MG Road,Koramangala,UberBlack,36.44,487.28,Cash,2024-03-30,09:51:17
Koramangala,Jayanagar,UberX,40.06,530.72,UPI,2024-10-19,18:01:53
Electronic City,Marathahalli,UberX,42.26,557.12,Card,2024-09-23,22:08:15
Whitefield,Jayanagar,UberSUV,36.52,488.24,Cash,2024-01-10,23:47:35
Electronic City,Koramangala,UberXL,30.03,410.36,Cash,2024-01-13,19:22:12
Marathahalli,Electronic City,UberXL,14.25,221,Wallet,2024-11-07,22:27:11
Jayanagar,MG Road,UberX,34.76,467.12,Card,2024-02-21,06:02:35
Whitefield,Hebbal,UberGo,19.74,286.88,Wallet,2024-12-17,21:51:42
Indiranagar,Hebbal,UberBlack,39.16,519.92,UPI,2024-08-20,16:52:57
Electronic City,MG Road,UberX,29.43,403.16,UPI,2024-02-15,08:55:03
Marathahalli,Jayanagar,UberBlack,26.83,371.96,Cash,2024-05-31,12:20:43
Indiranagar,Koramangala,UberSUV,25.06,350.72,Card,2024-11-05,13:37:03
MG Road,Jayanagar,UberX,31.99,433.88,Cash,2024-12-14,23:55:11
Hebbal,Marathahalli,UberX,42.61,561.32,Card,2024-12-08,22:26:48
Indiranagar,Koramangala,UberX,33.85,456.2,UPI,2024-05-08,10:10:30
MG Road,Indiranagar,UberGo,18.28,269.36,Wallet,2024-05-27,13:50:37
Indiranagar,MG Road,UberGo,43.59,573.08,Card,2024-05-02,11:47:24
Hebbal,Electronic City,UberGo,21.36,306.32,Wallet,2024-12-16,07:41:37
MG Road,Koramangala,UberBlack,42.3,557.6,Wallet,2024-07-04,12:13:27
Marathahalli,Hebbal,UberXL,32.29,437.48,Wallet,2024-12-01,04:03:55
Electronic City,Jayanagar,UberXL,10.84,180.08,Wallet,2024-07-16,09:34:41
Jayanagar,Marathahalli,UberSUV,5.37,114.44,Card,2024-02-09,12:24:29
Koramangala,Whitefield,UberBlack,14.93,229.16,Card,2024-05-28,04:22:25
Electronic City,MG Road,UberBlack,49.56,644.72,Card,2024-03-13,03:12:50
Electronic City,Whitefield,UberX,29.1,399.2,Wallet,2024-11-07,03:57:44
Koramangala,Jayanagar,UberX,19.86,288.32,Cash,2024-08-21,03:24:32
MG Road,Indiranagar,UberGo,36.4,486.8,Wallet,2024-09-14,11:01:58
MG Road,Indiranagar,UberX,4.53,104.36,Wallet,2024-11-26,21:20:54
MG Road,Koramangala,UberX,37.08,494.96,UPI,2024-05-04,01:36:47
Jayanagar,Indiranagar,UberSUV,35.87,480.44,Wallet,2024-02-04,20:43:44
MG Road,Marathahalli,UberGo,28.49,391.88,UPI,2024-06-17,01:03:13
MG Road,Jayanagar,UberXL,3.72,94.64,Cash,2024-09-16,15:07:56
Indiranagar,MG Road,UberGo,45.91,600.92,Card,2024-03-09,23:15:03
Electronic City,Koramangala,UberBlack,43.25,569,UPI,2024-08-03,03:54:50
Electronic City,Marathahalli,UberX,7.25,137,Cash,2024-07-07,10:34:16
Jayanagar,Marathahalli,UberGo,33.77,455.24,Card,2024-09-17,11:37:00
Hebbal,Marathahalli,UberX,48.12,627.44,Cash,2024-02-18,02:15:57
Jayanagar,Indiranagar,UberXL,30.75,419,UPI,2024-02-06,20:08:40
Whitefield,Marathahalli,UberX,20.66,297.92,UPI,2024-04-06,19:33:48
MG Road,Indiranagar,UberBlack,45.59,597.08,Cash,2024-01-10,10:09:56
Hebbal,Electronic City,UberXL,43.06,566.72,Card,2024-04-18,22:31:06
Marathahalli,Indiranagar,UberSUV,29.88,408.56,Wallet,2024-03-21,03:23:04
Indiranagar,Whitefield,UberXL,6.17,124.04,Card,2024-10-03,09:13:51
Marathahalli,Hebbal,UberGo,22.86,324.32,UPI,2024-02-04,03:51:39
MG Road,Whitefield,UberX,32.03,434.36,UPI,2024-07-07,07:32:21
MG Road,Indiranagar,UberBlack,49.95,649.4,Wallet,2024-09-16,11:56:59
MG Road,Koramangala,UberXL,11.44,187.28,Wallet,2024-08-29,12:17:19
Marathahalli,Indiranagar,UberSUV,49.26,641.12,UPI,2024-10-23,01:08:03
Electronic City,Hebbal,UberBlack,49.49,643.88,Wallet,2024-01-25,10:01:07
Whitefield,Koramangala,UberX,4.98,109.76,Card,2024-04-26,11:38:41
Indiranagar,Whitefield,UberX,47.92,625.04,Wallet,2024-06-20,03:44:51
Hebbal,Electronic City,UberBlack,25.97,361.64,Wallet,2024-03-17,21:24:27
Indiranagar,Electronic City,UberBlack,49.69,646.28,Wallet,2024-09-06,16:10:25
Whitefield,Jayanagar,UberBlack,32.14,435.68,Wallet,2024-03-20,16:00:12
Electronic City,Hebbal,UberGo,36.77,491.24,Card,2024-07-14,16:11:33
Hebbal,Indiranagar,UberGo,28.23,388.76,UPI,2024-05-06,04:28:49
Indiranagar,Electronic City,UberXL,30.39,414.68,Cash,2024-10-19,02:55:21
Marathahalli,Hebbal,UberSUV,33.36,450.32,Card,2024-04-10,20:08:19
Electronic City,Whitefield,UberBlack,26.05,362.6,Wallet,2024-12-21,15:58:02
Jayanagar,Hebbal,UberBlack,4.24,100.88,Wallet,2024-10-19,18:13:51
Hebbal,Marathahalli,UberX,27.09,375.08,Card,2024-04-03,23:50:46
Marathahalli,Hebbal,UberXL,32.86,444.32,Cash,2024-04-02,03:21:56
Koramangala,Whitefield,UberX,9.84,168.08,Card,2024-02-18,12:40:27
Marathahalli,Koramangala,UberX,42.33,557.96,UPI,2024-02-02,05:39:23
MG Road,Hebbal,UberSUV,5.64,117.68,Wallet,2024-08-13,07:39:08
Electronic City,Hebbal,UberXL,12.51,200.12,UPI,2024-03-20,18:33:39
MG Road,Koramangala,UberX,16.9,252.8,Wallet,2024-12-05,12:14:15
Whitefield,Electronic City,UberBlack,47.69,622.28,Cash,2024-09-24,15:46:41
Whitefield,Koramangala,UberGo,16.1,243.2,Wallet,2024-10-14,23:53:50
Indiranagar,Marathahalli,UberSUV,15.71,238.52,Card,2024-10-16,16:50:45
Electronic City,Jayanagar,UberGo,28.3,389.6,Wallet,2024-12-13,04:46:48
Jayanagar,Marathahalli,UberBlack,39.05,518.6,Wallet,2024-12-19,17:37:29
Electronic City,Marathahalli,UberXL,47.64,621.68,Cash,2024-10-14,22:43:59
Koramangala,Jayanagar,UberX,14.61,225.32,Wallet,2024-11-08,16:46:14
Whitefield,MG Road,UberBlack,33,446,UPI,2024-06-25,20:08:09
Electronic City,MG Road,UberBlack,26.03,362.36,Card,2024-06-13,21:49:26
Whitefield,Jayanagar,UberX,43.58,572.96,Wallet,2024-03-06,17:14:54
Marathahalli,Whitefield,UberXL,13.22,208.64,Wallet,2024-04-19,03:53:30
Hebbal,Indiranagar,UberX,25.82,359.84,Card,2024-10-17,20:10:43
Marathahalli,Koramangala,UberXL,17.26,257.12,Wallet,2024-03-29,15:15:52
Indiranagar,Koramangala,UberGo,31.87,432.44,Wallet,2024-12-22,19:43:11
Koramangala,Marathahalli,UberBlack,18.28,269.36,Cash,2024-02-13,16:42:24
Koramangala,Whitefield,UberX,29.38,402.56,UPI,2024-03-12,15:47:23
Hebbal,Koramangala,UberX,42.62,561.44,Wallet,2024-07-20,10:32:02
Electronic City,Marathahalli,UberSUV,39.63,525.56,Cash,2024-09-20,08:31:45
Indiranagar,Koramangala,UberXL,14.49,223.88,Card,2024-03-17,05:50:08
Jayanagar,Electronic City,UberGo,26.88,372.56,Wallet,2024-09-14,17:09:34
Hebbal,Jayanagar,UberGo,35.03,470.36,Cash,2024-10-26,09:21:31
Indiranagar,MG Road,UberGo,33.41,450.92,UPI,2024-12-19,11:42:33
Marathahalli,MG Road,UberXL,26.44,367.28,Cash,2024-10-05,18:50:27
Indiranagar,Koramangala,UberXL,6.91,132.92,UPI,2024-06-27,01:14:21
Whitefield,Marathahalli,UberBlack,30.81,419.72,UPI,2024-02-03,16:44:58
Jayanagar,Hebbal,UberSUV,43.76,575.12,Cash,2024-02-21,20:49:47
Marathahalli,Electronic City,UberXL,7.3,137.6,Wallet,2024-11-25,09:46:04
Electronic City,Marathahalli,UberBlack,48.75,635,Cash,2024-10-31,20:38:47
Hebbal,Marathahalli,UberX,24.1,339.2,UPI,2024-02-02,13:10:09
Marathahalli,MG Road,UberGo,48.86,636.32,Card,2024-12-06,11:33:57
Whitefield,Hebbal,UberXL,21.08,302.96,Card,2024-12-12,06:23:16
Indiranagar,Hebbal,UberBlack,28.49,391.88,Card,2024-04-20,02:51:22
Koramangala,Electronic City,UberGo,37.28,497.36,UPI,2024-08-08,19:49:06
Indiranagar,Koramangala,UberBlack,27.92,385.04,UPI,2024-08-21,07:03:48
Indiranagar,Hebbal,UberBlack,29.65,405.8,Wallet,2024-06-24,01:27:07
Indiranagar,Whitefield,UberBlack,30.85,420.2,Wallet,2024-04-07,21:15:54
Koramangala,Jayanagar,UberXL,4.09,99.08,UPI,2024-07-08,09:06:48
Indiranagar,Electronic City,UberBlack,22.18,316.16,Wallet,2024-04-04,19:11:46
Indiranagar,Whitefield,UberBlack,46.56,608.72,Wallet,2024-01-30,23:24:54
MG Road,Hebbal,UberXL,23.89,336.68,UPI,2024-11-22,21:02:08
Whitefield,Koramangala,UberBlack,10.64,177.68,Card,2024-04-10,15:21:11
Jayanagar,Marathahalli,UberGo,11.6,189.2,Card,2024-12-26,15:27:07
Hebbal,Indiranagar,UberSUV,25.44,355.28,Cash,2024-03-10,20:53:07
Whitefield,Indiranagar,UberGo,19.88,288.56,Card,2024-01-13,12:09:47
MG Road,Hebbal,UberBlack,16.91,252.92,UPI,2024-05-21,11:26:44
Electronic City,MG Road,UberSUV,18.35,270.2,Card,2024-09-25,03:44:10
Marathahalli,Jayanagar,UberGo,7.98,145.76,UPI,2024-09-10,18:06:04
Indiranagar,Electronic City,UberXL,44.56,584.72,Card,2024-08-21,03:37:47
Indiranagar,Jayanagar,UberSUV,27.65,381.8,Cash,2024-04-28,22:33:18
Hebbal,Indiranagar,UberBlack,37.02,494.24,Wallet,2024-02-11,04:24:10
Indiranagar,Jayanagar,UberBlack,37.2,496.4,UPI,2024-02-18,12:26:12
Koramangala,Marathahalli,UberSUV,36.62,489.44,Wallet,2024-03-27,10:06:00
Jayanagar,Whitefield,UberXL,19.91,288.92,Cash,2024-09-08,01:36:02
Jayanagar,MG Road,UberGo,18.99,277.88,UPI,2024-02-23,13:35:00
Koramangala,Hebbal,UberSUV,27.15,375.8,UPI,2024-11-11,02:21:21
Indiranagar,Jayanagar,UberBlack,14.33,221.96,Card,2024-02-12,01:05:54
Hebbal,Koramangala,UberGo,27.01,374.12,Wallet,2024-09-06,01:48:02
Electronic City,Hebbal,UberX,43.06,566.72,Cash,2024-10-18,22:48:32
